record_id,machine_id,original_product_id,timestamp,air_temperature_K,process_temperature_K,rotational_speed_rpm,torque_Nm,tool_wear_min,machine_failure,failure_type
REC-00029,PRESS-01,L47208,2026-01-02 04:00:00,299.1,309.4,1439,44.2,82,0,No Failure
REC-00030,PRESS-01,L47209,2026-01-02 05:00:00,299.0,309.4,1693,30.1,84,0,No Failure
REC-00031,CONV-02,M14890,2026-01-02 06:00:00,299.1,309.5,1339,48.2,86,0,No Failure
REC-00032,PRESS-01,L47211,2026-01-02 07:00:00,299.0,309.4,1798,25.5,89,0,No Failure
REC-00033,PRESS-01,L47212,2026-01-02 08:00:00,299.0,309.4,1419,48.3,91,0,No Failure
REC-00034,PRESS-01,L47213,2026-01-02 09:00:00,298.9,309.3,1665,32.5,93,0,No Failure
REC-00035,CONV-01,M14894,2026-01-02 10:00:00,298.8,309.1,1559,34.7,95,0,No Failure
REC-00036,CONV-02,M14895,2026-01-02 11:00:00,298.8,309.2,1452,48.6,98,0,No Failure
REC-00037,CONV-01,M14896,2026-01-02 12:00:00,298.9,309.2,1581,36.7,101,0,No Failure
REC-00038,PRESS-01,L47217,2026-01-02 13:00:00,298.8,309.1,1439,39.2,104,0,No Failure
REC-00039,CNC-03,H29452,2026-01-02 14:00:00,298.9,309.2,1379,50.7,106,0,No Failure
REC-00040,PRESS-01,L47219,2026-01-02 15:00:00,298.8,309.1,1350,52.5,111,0,No Failure
REC-00041,PRESS-01,L47220,2026-01-02 16:00:00,298.8,309.1,1362,45.4,113,0,No Failure
REC-00042,PRESS-01,L47221,2026-01-02 17:00:00,298.8,309.1,1368,50.8,115,0,No Failure
REC-00043,CONV-02,M14902,2026-01-02 18:00:00,298.8,309.1,1368,49.1,117,0,No Failure
REC-00044,CNC-01,H29457,2026-01-02 19:00:00,298.8,309.2,1372,48.5,120,0,No Failure
REC-00045,CONV-01,M14904,2026-01-02 20:00:00,298.8,309.1,1472,47.5,125,0,No Failure
REC-00046,PRESS-01,L47225,2026-01-02 21:00:00,298.8,309.1,1489,49.1,128,0,No Failure
REC-00047,CONV-02,M14906,2026-01-02 22:00:00,298.7,309.0,1843,25.8,130,0,No Failure
REC-00048,PRESS-01,L47227,2026-01-02 23:00:00,298.8,309.1,1418,46.3,133,0,No Failure
REC-00049,CNC-02,H29462,2026-01-03 00:00:00,298.8,309.2,1425,53.9,135,0,No Failure
REC-00050,CONV-01,M14909,2026-01-03 01:00:00,298.9,309.2,1412,44.1,140,0,No Failure
REC-00051,PRESS-01,L47230,2026-01-03 02:00:00,298.9,309.1,2861,4.6,143,1,Power Failure
REC-00052,PRESS-01,L47231,2026-01-03 03:00:00,298.9,309.1,1383,54.9,145,0,No Failure
REC-00053,CNC-03,H29466,2026-01-03 04:00:00,298.8,309.0,1497,43.8,147,0,No Failure
REC-00054,PRESS-01,L47233,2026-01-03 05:00:00,298.7,309.0,1565,35.1,152,0,No Failure
REC-00055,PRESS-01,L47234,2026-01-03 06:00:00,298.7,309.0,1691,30.1,154,0,No Failure
REC-00056,PRESS-01,L47235,2026-01-03 07:00:00,298.8,309.1,1512,40.7,156,0,No Failure
REC-00057,PRESS-01,L47236,2026-01-03 08:00:00,298.8,309.1,1477,42.4,158,0,No Failure
REC-00058,PRESS-01,L47237,2026-01-03 09:00:00,298.8,309.1,1513,40.3,160,0,No Failure
REC-00059,CONV-02,M14918,2026-01-03 10:00:00,298.8,309.0,1661,29.5,162,0,No Failure
REC-00060,PRESS-01,L47239,2026-01-03 11:00:00,298.8,309.1,1378,54.4,165,0,No Failure
REC-00061,PRESS-01,L47240,2026-01-03 12:00:00,298.8,309.1,1393,52.6,167,0,No Failure
REC-00062,CONV-01,M14921,2026-01-03 13:00:00,298.8,309.0,1592,38.2,169,0,No Failure
REC-00063,PRESS-01,L47242,2026-01-03 14:00:00,298.8,309.0,1829,22.9,172,0,No Failure
REC-00064,CONV-02,M14923,2026-01-03 15:00:00,298.9,309.0,1812,25.9,174,0,No Failure
REC-00065,PRESS-01,L47244,2026-01-03 16:00:00,299.0,309.1,1523,38.6,177,0,No Failure
REC-00066,PRESS-01,L47245,2026-01-03 17:00:00,299.0,309.1,1394,45.1,179,0,No Failure
REC-00067,CONV-01,M14926,2026-01-03 18:00:00,298.9,308.9,1679,28.7,181,0,No Failure
REC-00068,CNC-01,H29481,2026-01-03 19:00:00,298.8,308.9,1466,44.1,184,0,No Failure
REC-00069,PRESS-01,L47248,2026-01-03 20:00:00,298.8,308.9,1527,32.4,189,0,No Failure
REC-00070,PRESS-01,L47249,2026-01-03 21:00:00,298.9,309.0,1410,65.7,191,1,Power Failure
REC-00071,CONV-02,M14930,2026-01-03 22:00:00,298.9,309.0,1924,22.6,193,0,No Failure
REC-00072,PRESS-01,L47251,2026-01-03 23:00:00,298.9,309.1,1452,45.5,196,0,No Failure
REC-00073,PRESS-01,L47252,2026-01-04 00:00:00,298.9,309.1,1369,44.4,198,0,No Failure
REC-00074,PRESS-01,L47253,2026-01-04 01:00:00,299.0,309.1,1592,35.0,200,0,No Failure
REC-00075,PRESS-01,L47254,2026-01-04 02:00:00,298.9,309.0,1601,32.3,202,0,No Failure
REC-00076,PRESS-01,L47255,2026-01-04 03:00:00,298.8,308.9,1379,46.7,204,0,No Failure
REC-00077,PRESS-01,L47256,2026-01-04 04:00:00,298.8,308.9,1461,47.9,206,0,No Failure
REC-00078,PRESS-01,L47257,2026-01-04 05:00:00,298.8,308.9,1455,41.3,208,1,Tool Wear Failure
REC-00079,PRESS-01,L47258,2026-01-04 06:00:00,298.8,308.9,1398,51.5,0,0,No Failure
REC-00080,PRESS-01,L47259,2026-01-04 07:00:00,298.8,308.9,1402,37.9,2,0,No Failure
REC-00081,CNC-02,H29494,2026-01-04 08:00:00,298.8,308.8,1445,49.9,4,0,No Failure
REC-00082,PRESS-01,L47261,2026-01-04 09:00:00,298.9,308.9,1450,47.5,9,0,No Failure
REC-00083,PRESS-01,L47262,2026-01-04 10:00:00,298.9,308.9,1453,40.8,11,0,No Failure
REC-00084,PRESS-01,L47263,2026-01-04 11:00:00,299.0,309.0,1469,40.1,13,0,No Failure
REC-00085,PRESS-01,L47264,2026-01-04 12:00:00,298.9,308.9,1422,47.6,15,0,No Failure
REC-00086,CONV-01,M14945,2026-01-04 13:00:00,299.0,309.0,1804,26.8,17,0,No Failure
REC-00087,CNC-03,H29500,2026-01-04 14:00:00,299.0,309.0,1436,43.9,20,0,No Failure
REC-00088,PRESS-01,L47267,2026-01-04 15:00:00,299.0,309.0,1544,31.8,25,0,No Failure
REC-00089,CONV-02,M14948,2026-01-04 16:00:00,299.0,309.0,1419,45.2,27,0,No Failure
REC-00090,CONV-01,M14949,2026-01-04 17:00:00,298.9,308.9,1487,39.5,30,0,No Failure
REC-00091,PRESS-01,L47270,2026-01-04 18:00:00,298.9,308.9,1753,25.8,33,0,No Failure
REC-00092,PRESS-01,L47271,2026-01-04 19:00:00,298.9,308.9,1830,24.9,35,0,No Failure
REC-00093,CONV-02,M14952,2026-01-04 20:00:00,298.9,308.9,1727,27.1,37,0,No Failure
REC-00094,PRESS-01,L47273,2026-01-04 21:00:00,299.1,309.0,1450,43.0,40,0,No Failure
REC-00095,PRESS-01,L47274,2026-01-04 22:00:00,299.0,308.9,1622,31.9,42,0,No Failure
REC-00096,CONV-01,M14955,2026-01-04 23:00:00,299.0,309.0,1351,52.2,44,0,No Failure
REC-00097,CONV-02,M14956,2026-01-05 00:00:00,299.0,309.0,1575,35.3,47,0,No Failure
REC-00098,CONV-01,M14957,2026-01-05 01:00:00,298.9,308.9,1750,29.9,50,0,No Failure
REC-00099,PRESS-01,L47278,2026-01-05 02:00:00,298.9,308.8,1529,32.7,53,0,No Failure
REC-00100,PRESS-01,L47279,2026-01-05 03:00:00,298.8,308.8,1523,44.4,55,0,No Failure
REC-00101,PRESS-01,L47280,2026-01-05 04:00:00,298.8,308.9,1852,25.0,57,0,No Failure
REC-00102,PRESS-01,L47281,2026-01-05 05:00:00,298.8,308.8,1991,20.7,59,0,No Failure
REC-00103,PRESS-01,L47282,2026-01-05 06:00:00,298.8,308.8,1555,40.6,61,0,No Failure
REC-00104,CONV-02,M14963,2026-01-05 07:00:00,298.8,308.8,1441,40.5,63,0,No Failure
REC-00105,PRESS-01,L47284,2026-01-05 08:00:00,298.8,308.7,1450,43.4,66,0,No Failure
REC-00106,PRESS-01,L47285,2026-01-05 09:00:00,298.8,308.7,1591,31.1,68,0,No Failure
REC-00107,PRESS-01,L47286,2026-01-05 10:00:00,298.8,308.7,1445,48.5,70,0,No Failure
REC-00108,CONV-01,M14967,2026-01-05 11:00:00,298.8,308.8,1497,46.8,72,0,No Failure
REC-00109,CNC-01,H29522,2026-01-05 12:00:00,298.9,308.8,1621,32.7,75,0,No Failure
REC-00110,PRESS-01,L47289,2026-01-05 13:00:00,298.9,308.7,1572,34.1,80,0,No Failure
REC-00111,PRESS-01,L47290,2026-01-05 14:00:00,298.8,308.6,1872,22.5,82,0,No Failure
REC-00112,CNC-02,H29525,2026-01-05 15:00:00,298.7,308.6,1499,43.5,84,0,No Failure
REC-00113,CONV-02,M14972,2026-01-05 16:00:00,298.8,308.7,1498,39.5,89,0,No Failure
REC-00114,CONV-01,M14973,2026-01-05 17:00:00,298.8,308.6,1486,41.9,92,0,No Failure
REC-00115,PRESS-01,L47294,2026-01-05 18:00:00,298.8,308.6,1680,29.4,95,0,No Failure
REC-00116,PRESS-01,L47295,2026-01-05 19:00:00,298.8,308.6,1431,45.7,97,0,No Failure
REC-00117,PRESS-01,L47296,2026-01-05 20:00:00,298.9,308.7,1564,34.1,99,0,No Failure
REC-00118,PRESS-01,L47297,2026-01-05 21:00:00,298.8,308.6,1599,33.0,101,0,No Failure
REC-00119,CONV-02,M14978,2026-01-05 22:00:00,298.8,308.6,1707,28.1,103,0,No Failure
REC-00120,PRESS-01,L47299,2026-01-05 23:00:00,298.7,308.5,1467,40.7,106,0,No Failure
REC-00121,PRESS-01,L47300,2026-01-06 00:00:00,298.9,308.7,1433,44.7,108,0,No Failure
REC-00122,PRESS-01,L47301,2026-01-06 01:00:00,298.9,308.7,1558,41.2,110,0,No Failure
REC-00123,PRESS-01,L47302,2026-01-06 02:00:00,299.0,308.8,1310,50.7,112,0,No Failure
REC-00124,PRESS-01,L47303,2026-01-06 03:00:00,298.9,308.7,1546,43.4,114,0,No Failure
REC-00125,PRESS-01,L47304,2026-01-06 04:00:00,298.9,308.7,1727,29.4,116,0,No Failure
REC-00126,PRESS-01,L47305,2026-01-06 05:00:00,298.9,308.6,1560,32.2,118,0,No Failure
REC-00127,PRESS-01,L47306,2026-01-06 06:00:00,299.0,308.6,1329,60.5,120,0,No Failure
REC-00128,PRESS-01,L47307,2026-01-06 07:00:00,298.9,308.6,1413,46.5,122,0,No Failure
REC-00129,PRESS-01,L47308,2026-01-06 08:00:00,299.0,308.6,1587,38.6,124,0,No Failure
REC-00130,PRESS-01,L47309,2026-01-06 09:00:00,298.9,308.5,1559,34.3,126,0,No Failure
REC-00131,PRESS-01,L47310,2026-01-06 10:00:00,298.8,308.4,1473,41.1,128,0,No Failure
REC-00132,PRESS-01,L47311,2026-01-06 11:00:00,298.8,308.4,1737,27.7,130,0,No Failure
REC-00133,CONV-01,M14992,2026-01-06 12:00:00,298.7,308.4,1441,43.2,132,0,No Failure
REC-00134,CONV-02,M14993,2026-01-06 13:00:00,298.7,308.4,1430,49.6,135,0,No Failure
REC-00135,PRESS-01,L47314,2026-01-06 14:00:00,298.8,308.4,1369,53.0,138,0,No Failure
REC-00136,CONV-01,M14995,2026-01-06 15:00:00,298.8,308.5,1711,28.5,140,0,No Failure
REC-00137,CNC-03,H29550,2026-01-06 16:00:00,298.7,308.5,1420,45.7,143,0,No Failure
REC-00138,PRESS-01,L47317,2026-01-06 17:00:00,298.7,308.6,1297,55.3,148,0,No Failure
REC-00139,CNC-01,H29552,2026-01-06 18:00:00,298.8,308.6,1449,49.4,150,0,No Failure
REC-00140,PRESS-01,L47319,2026-01-06 19:00:00,298.8,308.6,1268,55.8,155,0,No Failure
REC-00141,PRESS-01,L47320,2026-01-06 20:00:00,298.8,308.6,1511,36.1,157,0,No Failure
REC-00142,PRESS-01,L47321,2026-01-06 21:00:00,298.7,308.5,1544,35.2,159,0,No Failure
REC-00143,CONV-02,M15002,2026-01-06 22:00:00,298.6,308.4,1778,28.2,161,0,No Failure
REC-00144,CNC-02,H29557,2026-01-06 23:00:00,298.6,308.4,1407,50.5,164,0,No Failure
REC-00145,CONV-01,M15004,2026-01-07 00:00:00,298.6,308.4,1391,42.4,169,0,No Failure
REC-00146,PRESS-01,L47325,2026-01-07 01:00:00,298.5,308.4,1513,33.6,172,0,No Failure
REC-00147,CNC-03,H29560,2026-01-07 02:00:00,298.5,308.4,1612,36.1,174,0,No Failure
REC-00148,PRESS-01,L47327,2026-01-07 03:00:00,298.4,308.4,1515,40.1,179,0,No Failure
REC-00149,CONV-02,M15008,2026-01-07 04:00:00,298.3,308.3,1379,48.0,181,0,No Failure
REC-00150,PRESS-01,L47329,2026-01-07 05:00:00,298.4,308.3,1473,39.9,184,0,No Failure
REC-00151,PRESS-01,L47330,2026-01-07 06:00:00,298.4,308.3,1422,42.7,186,0,No Failure
REC-00152,CONV-01,M15011,2026-01-07 07:00:00,298.4,308.2,1463,37.6,188,0,No Failure
REC-00153,CONV-02,M15012,2026-01-07 08:00:00,298.4,308.2,1584,41.0,191,0,No Failure
REC-00154,PRESS-01,L47333,2026-01-07 09:00:00,298.4,308.2,1850,27.0,194,0,No Failure
REC-00155,PRESS-01,L47334,2026-01-07 10:00:00,298.4,308.2,1528,36.2,196,0,No Failure
REC-00156,CNC-01,H29569,2026-01-07 11:00:00,298.4,308.2,1987,19.8,198,0,No Failure
REC-00157,CONV-01,M15016,2026-01-07 12:00:00,298.4,308.1,1495,46.0,203,0,No Failure
REC-00158,CNC-02,H29571,2026-01-07 13:00:00,298.4,308.2,1478,43.5,206,0,No Failure
REC-00159,CONV-02,M15018,2026-01-07 14:00:00,298.4,308.2,1499,40.0,211,0,No Failure
REC-00160,PRESS-01,L47339,2026-01-07 15:00:00,298.4,308.2,1471,47.0,214,0,No Failure
REC-00161,PRESS-01,L47340,2026-01-07 16:00:00,298.4,308.2,1282,60.7,216,1,Overstrain Failure
REC-00162,PRESS-01,L47341,2026-01-07 17:00:00,298.3,308.1,1412,52.3,218,1,Overstrain Failure
REC-00163,PRESS-01,L47342,2026-01-07 18:00:00,298.3,308.1,1586,35.5,0,0,No Failure
REC-00164,CONV-01,M15023,2026-01-07 19:00:00,298.4,308.2,1468,43.8,2,0,No Failure
REC-00165,CONV-02,M15024,2026-01-07 20:00:00,298.5,308.3,1440,43.6,5,0,No Failure
REC-00166,PRESS-01,L47345,2026-01-07 21:00:00,298.5,308.4,1733,26.0,8,0,No Failure
REC-00167,CNC-03,H29580,2026-01-07 22:00:00,298.4,308.2,1612,32.6,10,0,No Failure
REC-00168,CNC-01,H29581,2026-01-07 23:00:00,298.4,308.3,1458,42.9,15,0,No Failure
REC-00169,PRESS-01,L47348,2026-01-08 00:00:00,298.4,308.3,1433,62.3,20,1,Power Failure
REC-00170,PRESS-01,L47349,2026-01-08 01:00:00,298.4,308.3,1318,59.1,22,0,No Failure
REC-00171,CONV-01,M15030,2026-01-08 02:00:00,298.4,308.2,1610,35.0,24,0,No Failure
REC-00172,PRESS-01,L47351,2026-01-08 03:00:00,298.2,308.1,1462,50.8,27,0,No Failure
REC-00173,CONV-02,M15032,2026-01-08 04:00:00,298.1,308.0,1924,20.8,29,0,No Failure
REC-00174,CONV-01,M15033,2026-01-08 05:00:00,298.2,308.0,1591,33.7,32,0,No Failure
REC-00175,PRESS-01,L47354,2026-01-08 06:00:00,298.2,308.1,1306,58.3,35,0,No Failure
REC-00176,PRESS-01,L47355,2026-01-08 07:00:00,298.2,308.1,1382,43.5,37,0,No Failure
REC-00177,PRESS-01,L47356,2026-01-08 08:00:00,298.2,308.1,1618,34.7,39,0,No Failure
REC-00178,PRESS-01,L47357,2026-01-08 09:00:00,298.2,308.2,1988,21.4,41,0,No Failure
REC-00179,PRESS-01,L47358,2026-01-08 10:00:00,298.2,308.2,1436,50.2,43,0,No Failure
REC-00180,PRESS-01,L47359,2026-01-08 11:00:00,298.2,308.3,1304,49.8,45,0,No Failure
REC-00181,PRESS-01,L47360,2026-01-08 12:00:00,298.2,308.3,1475,49.9,47,0,No Failure
REC-00182,CNC-02,H29595,2026-01-08 13:00:00,298.2,308.3,1824,24.2,49,0,No Failure
REC-00183,CONV-02,M15042,2026-01-08 14:00:00,298.1,308.2,1342,48.1,54,0,No Failure
REC-00184,PRESS-01,L47363,2026-01-08 15:00:00,298.1,308.2,1485,40.7,57,0,No Failure
REC-00185,PRESS-01,L47364,2026-01-08 16:00:00,298.2,308.2,1667,30.6,59,0,No Failure
REC-00186,PRESS-01,L47365,2026-01-08 17:00:00,298.2,308.2,1446,38.2,61,0,No Failure
REC-00187,PRESS-01,L47366,2026-01-08 18:00:00,298.1,308.3,1301,56.0,63,0,No Failure
REC-00188,PRESS-01,L47367,2026-01-08 19:00:00,298.2,308.4,1379,43.1,65,0,No Failure
REC-00189,PRESS-01,L47368,2026-01-08 20:00:00,298.3,308.5,1606,33.6,67,0,No Failure
REC-00190,CONV-01,M15049,2026-01-08 21:00:00,298.3,308.4,1539,43.4,69,0,No Failure
REC-00191,PRESS-01,L47370,2026-01-08 22:00:00,298.2,308.4,1477,49.9,72,0,No Failure
REC-00192,PRESS-01,L47371,2026-01-08 23:00:00,298.2,308.4,1666,34.6,74,0,No Failure
REC-00193,CNC-03,H29606,2026-01-09 00:00:00,298.2,308.4,1398,51.8,76,0,No Failure
REC-00194,CNC-01,H29607,2026-01-09 01:00:00,298.2,308.4,1678,34.6,81,0,No Failure
REC-00195,CONV-02,M15054,2026-01-09 02:00:00,298.2,308.5,2678,10.7,86,1,Power Failure
REC-00196,PRESS-01,L47375,2026-01-09 03:00:00,298.3,308.5,1453,42.9,89,0,No Failure
REC-00197,CNC-02,H29610,2026-01-09 04:00:00,298.3,308.6,1432,49.5,91,0,No Failure
REC-00198,CONV-01,M15057,2026-01-09 05:00:00,298.4,308.6,1527,40.9,96,0,No Failure
REC-00199,PRESS-01,L47378,2026-01-09 06:00:00,298.4,308.7,1588,35.0,99,0,No Failure
REC-00200,PRESS-01,L47379,2026-01-09 07:00:00,298.4,308.6,1433,47.1,101,0,No Failure
REC-00201,PRESS-01,L47380,2026-01-09 08:00:00,298.4,308.6,1609,35.0,103,0,No Failure
REC-00202,PRESS-01,L47381,2026-01-09 09:00:00,298.3,308.5,1575,41.2,105,0,No Failure
REC-00203,CONV-02,M15062,2026-01-09 10:00:00,298.4,308.5,1636,35.7,107,0,No Failure
REC-00204,PRESS-01,L47383,2026-01-09 11:00:00,298.4,308.5,1490,37.9,110,0,No Failure
REC-00205,PRESS-01,L47384,2026-01-09 12:00:00,298.4,308.5,1741,32.8,112,0,No Failure
REC-00206,CONV-01,M15065,2026-01-09 13:00:00,298.5,308.6,1344,53.0,114,0,No Failure
REC-00207,PRESS-01,L47386,2026-01-09 14:00:00,298.5,308.7,1609,35.3,117,0,No Failure
REC-00208,CONV-02,M15067,2026-01-09 15:00:00,298.4,308.7,1421,60.7,119,1,Power Failure
REC-00209,PRESS-01,L47388,2026-01-09 16:00:00,298.4,308.6,1591,36.7,122,0,No Failure
REC-00210,PRESS-01,L47389,2026-01-09 17:00:00,298.4,308.6,1477,44.0,124,0,No Failure
REC-00211,PRESS-01,L47390,2026-01-09 18:00:00,298.4,308.7,1523,36.1,126,0,No Failure
REC-00212,PRESS-01,L47391,2026-01-09 19:00:00,298.5,308.7,1575,33.9,128,0,No Failure
REC-00213,CNC-03,H29626,2026-01-09 20:00:00,298.4,308.7,1344,52.9,130,0,No Failure
REC-00214,PRESS-01,L47393,2026-01-09 21:00:00,298.4,308.7,1386,44.9,135,0,No Failure
REC-00215,CONV-01,M15074,2026-01-09 22:00:00,298.3,308.6,1589,37.1,137,0,No Failure
REC-00216,PRESS-01,L47395,2026-01-09 23:00:00,298.3,308.6,1548,40.3,140,0,No Failure
REC-00217,PRESS-01,L47396,2026-01-10 00:00:00,298.3,308.6,1499,38.3,142,0,No Failure
REC-00218,PRESS-01,L47397,2026-01-10 01:00:00,298.3,308.5,1664,31.6,144,0,No Failure
REC-00219,PRESS-01,L47398,2026-01-10 02:00:00,298.3,308.6,1447,38.1,146,0,No Failure
REC-00220,CONV-02,M15079,2026-01-10 03:00:00,298.3,308.5,1434,46.2,148,0,No Failure
REC-00221,PRESS-01,L47400,2026-01-10 04:00:00,298.3,308.5,1416,52.7,151,0,No Failure
REC-00222,CNC-01,H29635,2026-01-10 05:00:00,298.4,308.5,1827,24.3,153,0,No Failure
REC-00223,PRESS-01,L47402,2026-01-10 06:00:00,298.4,308.6,1304,45.0,158,0,No Failure
REC-00224,PRESS-01,L47403,2026-01-10 07:00:00,298.4,308.6,1569,34.4,160,0,No Failure
REC-00225,PRESS-01,L47404,2026-01-10 08:00:00,298.3,308.6,1584,29.3,162,0,No Failure
REC-00226,PRESS-01,L47405,2026-01-10 09:00:00,298.3,308.5,1362,53.8,164,0,No Failure
REC-00227,PRESS-01,L47406,2026-01-10 10:00:00,298.3,308.4,1329,49.2,166,0,No Failure
REC-00228,PRESS-01,L47407,2026-01-10 11:00:00,298.3,308.5,1539,36.1,168,0,No Failure
REC-00229,CONV-01,M15088,2026-01-10 12:00:00,298.3,308.5,1629,37.1,170,0,No Failure
REC-00230,PRESS-01,L47409,2026-01-10 13:00:00,298.3,308.5,1538,32.2,173,0,No Failure
REC-00231,PRESS-01,L47410,2026-01-10 14:00:00,298.3,308.6,1570,34.8,175,0,No Failure
REC-00232,PRESS-01,L47411,2026-01-10 15:00:00,298.3,308.4,1408,43.1,177,0,No Failure
REC-00233,PRESS-01,L47412,2026-01-10 16:00:00,298.2,308.4,1424,47.6,179,0,No Failure
REC-00234,PRESS-01,L47413,2026-01-10 17:00:00,298.2,308.4,1512,34.9,181,0,No Failure
REC-00235,PRESS-01,L47414,2026-01-10 18:00:00,298.2,308.4,1478,42.9,183,0,No Failure
REC-00236,CONV-02,M15095,2026-01-10 19:00:00,298.1,308.3,1680,33.7,185,0,No Failure
REC-00237,PRESS-01,L47416,2026-01-10 20:00:00,298.1,308.3,1495,38.7,188,0,No Failure
REC-00238,CONV-01,M15097,2026-01-10 21:00:00,298.0,308.1,1552,36.6,190,0,No Failure
REC-00239,PRESS-01,L47418,2026-01-10 22:00:00,297.9,308.1,1393,50.3,193,0,No Failure
REC-00240,PRESS-01,L47419,2026-01-10 23:00:00,298.0,308.2,1611,30.6,195,0,No Failure
REC-00241,CONV-02,M15100,2026-01-11 00:00:00,298.0,308.1,1339,51.6,197,0,No Failure
REC-00242,PRESS-01,L47421,2026-01-11 01:00:00,298.0,308.1,1777,24.3,200,0,No Failure
REC-00243,PRESS-01,L47422,2026-01-11 02:00:00,298.0,308.2,1348,58.8,202,1,Overstrain Failure
REC-00244,PRESS-01,L47423,2026-01-11 03:00:00,298.0,308.2,1442,44.1,204,0,No Failure
REC-00245,CONV-01,M15104,2026-01-11 04:00:00,298.0,308.2,1395,49.1,206,0,No Failure
REC-00246,CONV-02,M15105,2026-01-11 05:00:00,297.9,308.1,1627,31.4,209,0,No Failure
REC-00247,PRESS-01,L47426,2026-01-11 06:00:00,297.9,308.1,1585,33.5,212,0,No Failure
REC-00248,PRESS-01,L47427,2026-01-11 07:00:00,298.0,308.2,1469,45.5,214,0,No Failure
REC-00249,PRESS-01,L47428,2026-01-11 08:00:00,298.0,308.3,1362,56.8,216,1,Overstrain Failure
REC-00250,PRESS-01,L47429,2026-01-11 09:00:00,298.0,308.3,1405,56.2,218,1,Overstrain Failure
REC-00251,PRESS-01,L47430,2026-01-11 10:00:00,298.0,308.3,1662,32.7,0,0,No Failure
REC-00252,CONV-01,M15111,2026-01-11 11:00:00,298.0,308.2,1466,42.6,2,0,No Failure
REC-00253,PRESS-01,L47432,2026-01-11 12:00:00,298.0,308.2,1620,35.8,5,0,No Failure
REC-00254,PRESS-01,L47433,2026-01-11 13:00:00,298.0,308.2,1357,48.2,7,0,No Failure
REC-00255,PRESS-01,L47434,2026-01-11 14:00:00,298.0,308.2,1514,37.9,9,0,No Failure
REC-00256,PRESS-01,L47435,2026-01-11 15:00:00,298.0,308.2,1489,40.4,11,0,No Failure
REC-00257,PRESS-01,L47436,2026-01-11 16:00:00,298.1,308.3,1331,63.0,13,0,No Failure
