text,label
"Pesanan PO-14211 belum sampai, sudah lewat 9 hari dari estimasi.",keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-56527? Sudah telat 7 hari.,keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-57775? Sudah telat 4 hari.,keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-51430? Sudah telat 2 hari.,keterlambatan_pengiriman
"Pesanan PO-59272 belum sampai, sudah lewat 6 hari dari estimasi.",keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-46267? Sudah telat 4 hari.,keterlambatan_pengiriman
Kami ingin retur PO-47979 karena salah spesifikasi saat pemesanan.,retur_barang
Beberapa unit dari batch B139 tidak berfungsi saat uji pasang.,produk_cacat
Komponen dari batch B966 datang dengan goresan di permukaan.,produk_cacat
"Ini komplain ke-3 kami untuk isu yang sama, kami pertimbangkan hentikan kontrak.",eskalasi_kritikal
"Pesanan PO-87790 belum sampai, sudah lewat 8 hari dari estimasi.",keterlambatan_pengiriman
"Mengajukan retur untuk batch B164, kondisi barang tidak sesuai pesanan.",retur_barang
"Ini komplain ke-3 kami untuk isu yang sama, kami pertimbangkan hentikan kontrak.",eskalasi_kritikal
"Mengajukan retur untuk batch B510, kondisi barang tidak sesuai pesanan.",retur_barang
Kapan estimasi baru untuk pengiriman PO-15582? Sudah telat 3 hari.,keterlambatan_pengiriman
Komponen dari batch B841 datang dengan goresan di permukaan.,produk_cacat
Komponen dari batch B124 datang dengan goresan di permukaan.,produk_cacat
Kami ingin retur PO-81998 karena salah spesifikasi saat pemesanan.,retur_barang
Kapan estimasi baru untuk pengiriman PO-57159? Sudah telat 3 hari.,keterlambatan_pengiriman
"Pesanan PO-20644 belum sampai, sudah lewat 4 hari dari estimasi.",keterlambatan_pengiriman
"Pesanan PO-82360 belum sampai, sudah lewat 5 hari dari estimasi.",keterlambatan_pengiriman
"Pesanan PO-35311 belum sampai, sudah lewat 4 hari dari estimasi.",keterlambatan_pengiriman
"Pesanan PO-70644 belum sampai, sudah lewat 3 hari dari estimasi.",keterlambatan_pengiriman
"Mengajukan retur untuk batch B429, kondisi barang tidak sesuai pesanan.",retur_barang
Kami ingin retur PO-81694 karena salah spesifikasi saat pemesanan.,retur_barang
"Ini komplain ke-3 kami untuk isu yang sama, kami pertimbangkan hentikan kontrak.",eskalasi_kritikal
"Pesanan PO-75526 belum sampai, sudah lewat 8 hari dari estimasi.",keterlambatan_pengiriman
Beberapa unit dari batch B978 tidak berfungsi saat uji pasang.,produk_cacat
Kapan estimasi baru untuk pengiriman PO-17611? Sudah telat 9 hari.,keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-37728? Sudah telat 7 hari.,keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-79609? Sudah telat 2 hari.,keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-88614? Sudah telat 6 hari.,keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-76127? Sudah telat 8 hari.,keterlambatan_pengiriman
"Pesanan PO-90590 belum sampai, sudah lewat 5 hari dari estimasi.",keterlambatan_pengiriman
"Ini komplain ke-3 kami untuk isu yang sama, kami pertimbangkan hentikan kontrak.",eskalasi_kritikal
"Keterlambatan berulang mengganggu produksi kami, butuh solusi permanen.",eskalasi_kritikal
"Keterlambatan berulang mengganggu produksi kami, butuh solusi permanen.",eskalasi_kritikal
Komponen dari batch B394 datang dengan goresan di permukaan.,produk_cacat
Kapan estimasi baru untuk pengiriman PO-24444? Sudah telat 1 hari.,keterlambatan_pengiriman
Komponen dari batch B282 datang dengan goresan di permukaan.,produk_cacat
"Pesanan PO-97131 belum sampai, sudah lewat 7 hari dari estimasi.",keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-33828? Sudah telat 1 hari.,keterlambatan_pengiriman
"Pesanan PO-84538 belum sampai, sudah lewat 8 hari dari estimasi.",keterlambatan_pengiriman
"Ukuran part pada PO-14741 tidak sesuai spesifikasi, meleset dari toleransi.",produk_cacat
"Pesanan PO-20378 belum sampai, sudah lewat 9 hari dari estimasi.",keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-55743? Sudah telat 4 hari.,keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-59966? Sudah telat 2 hari.,keterlambatan_pengiriman
"Pesanan PO-71024 belum sampai, sudah lewat 8 hari dari estimasi.",keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-92980? Sudah telat 7 hari.,keterlambatan_pengiriman
Komponen dari batch B437 datang dengan goresan di permukaan.,produk_cacat
Beberapa unit dari batch B644 tidak berfungsi saat uji pasang.,produk_cacat
"Keterlambatan berulang mengganggu produksi kami, butuh solusi permanen.",eskalasi_kritikal
"Pesanan PO-47341 belum sampai, sudah lewat 8 hari dari estimasi.",keterlambatan_pengiriman
"Pesanan PO-60772 belum sampai, sudah lewat 9 hari dari estimasi.",keterlambatan_pengiriman
